Var1 Var2 Var3 Var4 Var5 Var6 Var7 Var8
1741615444.72366 1.4602326975 -0.5088983568 0 0 0 -0.0786706 0.996900665
1741615444.82388 1.4403990855 -0.5066442888 0 0 0 -0.087002857 0.996208062
1741615444.92404 1.428589083 -0.505294036 0 0 0 -0.093006908 0.995665463
1741615445.02413 1.424336679 -0.5039458256 0 0 0 -0.0898917 0.995951546
1741615445.12377 1.424272872 -0.5048373104 0 0 0 -0.096537678 0.995329331
1741615445.22377 1.4247091845 -0.504610788 0 0 0 -0.092509879 0.995711767
1741615445.32368 1.424388228 -0.5046205104 0 0 0 -0.091466162 0.995808185
1741615445.42502 1.424388228 -0.5046205104 0 0 0 -0.091466162 0.995808185
1741615445.52371 1.423440972 -0.5046135584 0 0 0 -0.094879241 0.995488789
1741615445.82438 1.3508681715 -0.4945588912 0 0 0 -0.116102355 0.993237254
1741615446.22449 1.203414954 -0.4648584152 0 0 0 -0.185388307 0.982665343
1741615446.32392 1.188045633 -0.461545452 0 0 0 -0.193108533 0.981177402
1741615447.2234 1.172271264 -0.4580091768 0 0 0 -0.194235771 0.980954874
1741615447.72386 1.172271264 -0.4580091768 0 0 0 -0.194235771 0.980954874
1741615447.82483 1.172271264 -0.4580091768 0 0 0 -0.194235771 0.980954874
1741615448.2247 1.172271264 -0.4580091768 0 0 0 -0.194235771 0.980954874
1741615448.32428 1.171817655 -0.4584571784 0 0 0 -0.190730082 0.981642519
1741615448.42373 1.171817655 -0.4584571784 0 0 0 -0.190730082 0.981642519
1741615448.52366 1.171817655 -0.4584571784 0 0 0 -0.190730082 0.981642519
1741615449.42302 1.1573986605 -0.4596016776 0 0 0 -0.17414683 0.984719697
1741615449.52498 1.1573986605 -0.4596016776 0 0 0 -0.17414683 0.984719697
1741615449.72481 1.1573986605 -0.4596016776 0 0 0 -0.17414683 0.984719697
1741615449.82394 1.1573986605 -0.4596016776 0 0 0 -0.17414683 0.984719697
1741615449.92525 1.1573986605 -0.4596016776 0 0 0 -0.17414683 0.984719697
1741615450.02407 1.151479908 -0.459836076 0 0 0 -0.166719699 0.986004332
1741615458.41771 0.2847301665 -0.351171652 0 0 0 -0.281947622 0.959429799
1741615458.51633 0.280883115 -0.3498147448 0 0 0 -0.285468614 0.958388059
1741615458.61529 0.2808941925 -0.3495872424 0 0 0 -0.284186427 0.958769041
1741615458.71642 0.2808941925 -0.3495872424 0 0 0 -0.284186427 0.958769041
1741615458.81693 0.281776785 -0.3491263336 0 0 0 -0.290745074 0.956800555
1741615458.91722 0.279257844 -0.3479962616 0 0 0 -0.290360148 0.956917439
1741615459.01585 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615459.11636 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615459.21553 0.279257844 -0.3479962616 0 0 0 -0.290360148 0.956917439
1741615459.31662 0.2822066385 -0.34912514 0 0 0 -0.289996395 0.957027738
1741615459.41651 0.279257844 -0.3479962616 0 0 0 -0.290360148 0.956917439
1741615459.51648 0.281776785 -0.3491263336 0 0 0 -0.290745074 0.956800555
1741615459.61554 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615459.71592 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615459.81601 0.2792661285 -0.3477656896 0 0 0 -0.291725167 0.956502184
1741615459.91581 0.278821737 -0.347996672 0 0 0 -0.289561586 0.957159385
1741615460.11692 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615460.21636 0.2822066385 -0.34912514 0 0 0 -0.289996395 0.957027738
1741615460.31758 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615460.51895 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615460.61825 0.281776785 -0.3491263336 0 0 0 -0.290745074 0.956800555
1741615460.71724 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615460.81607 0.2788300575 -0.3477660776 0 0 0 -0.290921975 0.956746782
1741615460.91637 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615461.01623 0.279257844 -0.3479962616 0 0 0 -0.290360148 0.956917439
1741615461.11612 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615461.21674 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615461.31673 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615461.4159 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615461.6164 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615461.71564 0.2788300575 -0.3477660776 0 0 0 -0.290921975 0.956746782
